bin,n,mean_mm,std_mm,median_q,sqrt_n_bound
257.0,136,457.3382352941176,2349.62392332172,0.0,201.47858923333283
258.0,145,2429.6310344827584,4581.5060640771835,0.0,380.47336954410923
259.0,132,10947.575757575758,960.1729890156772,4.0,83.57233161991255
260.0,144,3776.605902777778,5715.53991849829,0.0,476.2949932081908
261.0,136,12360.494485294117,1068.053380058575,1.0,91.58482176835993
262.0,142,4155.19014084507,5929.123223795552,0.0,497.56096804531956
263.0,146,6623.253424657534,6555.627529931448,1.0,542.5475947255063
264.0,143,11474.562937062938,6555.146180355933,9.0,548.1688617751149
265.0,147,15176.892857142857,5.9013000657272965,9.0,0.48673102593091583
266.0,131,15160.975190839694,4.2474941664548735,9.0,0.3711052883875717
267.0,146,15149.35102739726,3.3452976218200074,9.0,0.27685880109457356
268.0,133,3414.7556390977443,5973.91948685947,0.0,518.0045144190261
269.0,145,13524.891379310346,4.0322930167809,15.0,0.3348637084894546
270.0,139,8276.875899280576,6620.972065613629,4.0,561.583520977381
271.0,139,10137.841726618704,7155.679027734295,7.0,606.9367735667367
272.0,144,15166.583333333334,6.1441028637221375,9.0,0.5120085719768448
273.0,132,15185.054924242424,5.625588552240786,9.0,0.48964463427264193
274.0,150,15206.1,7.863666340972758,9.0,0.6420656680960699
275.0,131,15234.63358778626,9.11456451288486,9.0,0.7963431989606239
276.0,143,15262.865384615385,7.316942597202029,6.0,0.6118734784590728
277.0,143,3638.861888111888,5813.381052616545,0.0,486.13934563771966
278.0,133,11808.607142857143,33.10469340000319,4.0,2.87054096851821
279.0,146,11813.953767123288,13.155010957696568,4.0,1.0887164533218356
280.0,132,11932.445075757576,58.589025970026,2.0,5.099520152794816
281.0,137,11469.73905109489,2671.4276190412297,1.0,228.23546433639285
282.0,134,11942.580223880597,1039.8874571303095,3.0,89.83259403729646
283.0,144,12004.777777777777,18.53797630963443,3.0,1.5448313591362026
284.0,141,6153.054964539007,6044.998742916994,0.0,509.08073041922387
285.0,138,0.0,0.0,0.0,0.0
286.0,140,873.2303571428571,3159.783081678624,0.0,267.0504115499873
287.0,142,12129.80633802817,1457.5898733267848,1.0,122.31822497378703
288.0,142,12466.413732394367,25.072113117629442,1.0,2.104004994142051
289.0,144,12462.944444444445,1046.1995446742524,1.0,87.18329538952104
290.0,129,11454.732558139534,3682.8359732474846,1.0,324.2556270494359
291.0,139,12776.640287769784,86.17874138430683,2.0,7.3095854415922235
292.0,146,5246.529109589041,6393.225929040068,0.0,529.1071426038905
293.0,140,12958.996428571429,1566.4355093725128,3.0,132.38796355040103
294.0,138,6821.050724637681,6650.328425782137,1.0,566.1135504137592
295.0,135,7048.742592592593,6717.2125392546095,1.0,578.1256066104164
296.0,149,13322.41610738255,1559.708087729235,1.0,127.77626521595015
297.0,131,13625.753816793893,34.88985394634042,2.0,3.048340692922875
298.0,150,13755.87,43.697036205609514,2.0,3.5678480658555225
299.0,136,8461.970588235294,6786.951657071444,1.0,581.9763033091792
300.0,149,1509.8959731543623,4367.930697940468,0.0,357.8348254367843
301.0,138,4682.679347826087,6646.43854016858,0.0,565.7824213605147
302.0,133,0.0,0.0,0.0,0.0
303.0,149,1720.3171140939598,2357.522644812368,0.0,193.1357803976764
304.0,134,220.61380597014926,1022.7956374526505,0.0,88.35608570177047
305.0,137,108.32846715328468,1267.952199817445,0.0,108.32846715328468
306.0,149,0.0,0.0,0.0,0.0
307.0,137,8053.14598540146,2834.160916365739,6.0,242.13870820986216
308.0,143,3482.2097902097903,4420.168654736142,0.0,369.633072040689
309.0,133,0.0,0.0,0.0,0.0
310.0,148,0.0,0.0,0.0,0.0
311.0,135,530.687037037037,2277.8064870531266,0.0,196.04236867199955
312.0,141,245.25,1691.695921046603,0.0,142.4664969769791
313.0,141,13569.945035460993,2611.9523238463994,5.0,219.96606672614038
314.0,139,6505.381294964029,6966.295651850804,0.0,590.8734852777569
315.0,145,0.0,0.0,0.0,0.0
316.0,128,0.0,0.0,0.0,0.0
317.0,147,59.583333333333336,722.4095243235193,0.0,59.58333333333334
318.0,139,5631.935251798561,4170.645682158027,0.0,353.7495497224009
319.0,141,3261.253546099291,5215.776865159226,0.0,439.2476506848148
